Item,Completed,Link
Bottomless Brunch,No,/Users/rachelcostello/Documents/Python/BucketList/src/graphics/water.jpg
Kayak Bioluminescent Bay,Yes,/Users/rachelcostello/Documents/Python/BucketList/src/graphics/water.jpg
Swim with turtles at Spott’s Beach,No,/Users/rachelcostello/Documents/Python/BucketList/src/graphics/water.jpg
Rum Tasting Tour,No,/Users/rachelcostello/Documents/Python/BucketList/src/graphics/water.jpg
Swim with Stingrays at Stingray City,No,/Users/rachelcostello/Documents/Python/BucketList/src/graphics/water.jpg
Hike Mastic Reserve Trail,No,/Users/rachelcostello/Documents/Python/BucketList/src/graphics/water.jpg
Stroll around Botanic Park,Yes,/Users/rachelcostello/Documents/Python/BucketList/src/graphics/water.jpg
Date at Macabuca,No,/Users/rachelcostello/Documents/Python/BucketList/src/graphics/water.jpg
Picnic on Seven Mile Beach,No,/Users/rachelcostello/Documents/Python/BucketList/src/graphics/water.jpg
Beach Horseback Riding,No,/Users/rachelcostello/Documents/Python/BucketList/src/graphics/water.jpg
Dive/Snorkel Kittiwake Shipwreck,No,/Users/rachelcostello/Documents/Python/BucketList/src/graphics/water.jpg
Explore Crystal Caves,No,/Users/rachelcostello/Documents/Python/BucketList/src/graphics/water.jpg
Eco Rides Bike Tour,No,/Users/rachelcostello/Documents/Python/BucketList/src/graphics/water.jpg
Sip a mudslide at Kaibo / Wreck Bar,No,/Users/rachelcostello/Documents/Python/BucketList/src/graphics/water.jpg
Visit Starfish Point,Yes,/Users/rachelcostello/Documents/Python/BucketList/src/graphics/water.jpg
Dive Bloody Bay Wall @ Little Cayman,No,/Users/rachelcostello/Documents/Python/BucketList/src/graphics/water.jpg
Visit Cayman Brac,No,/Users/rachelcostello/Documents/Python/BucketList/src/graphics/water.jpg
Visit Owen Island from Little Cayman,No,/Users/rachelcostello/Documents/Python/BucketList/src/graphics/water.jpg
Check out the Parrot Sanctuary,No,/Users/rachelcostello/Documents/Python/BucketList/src/graphics/water.jpg
Walk Humane Society Puppies,No,/Users/rachelcostello/Documents/Python/BucketList/src/graphics/water.jpg
Stargaze at Barkers Beach,No,/Users/rachelcostello/Documents/Python/BucketList/src/graphics/water.jpg
Swim in Pedro St. James Natural Pool,No,/Users/rachelcostello/Documents/Python/BucketList/src/graphics/water.jpg
Ice-cream Crawl,No,/Users/rachelcostello/Documents/Python/BucketList/src/graphics/water.jpg
Sunrise beach walk,No,/Users/rachelcostello/Documents/Python/BucketList/src/graphics/water.jpg
Market Shopping,No,/Users/rachelcostello/Documents/Python/BucketList/src/graphics/water.jpg
Spot nurse sharks at Sunset House or Eden Rock,No,/Users/rachelcostello/Documents/Python/BucketList/src/graphics/water.jpg
"Water sports (paddle boarding, jet ski-ing, ...)",No,/Users/rachelcostello/Documents/Python/BucketList/src/graphics/water.jpg
Complete Advanced Diving Certificate,No,/Users/rachelcostello/Documents/Python/BucketList/src/graphics/water.jpg
Visit the Cayman Islands Brewery?,No,/Users/rachelcostello/Documents/Python/BucketList/src/graphics/water.jpg
Chase Sunsets,No,/Users/rachelcostello/Documents/Python/BucketList/src/graphics/water.jpg
Visit Blow Holes,No,/Users/rachelcostello/Documents/Python/BucketList/src/graphics/water.jpg
Feed Frigate Birds at Tukka Restaurant,No,/Users/rachelcostello/Documents/Python/BucketList/src/graphics/water.jpg
Davinoff's Sculpture Garden,No,/Users/rachelcostello/Documents/Python/BucketList/src/graphics/water.jpg
Swim with Tarpon at Rackam's Restaurant,No,/Users/rachelcostello/Documents/Python/BucketList/src/graphics/water.jpg
Go to Hell,No,/Users/rachelcostello/Documents/Python/BucketList/src/graphics/water.jpg
ATV Tour,No,/Users/rachelcostello/Documents/Python/BucketList/src/graphics/water.jpg